Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Image URL,architectural_style,architectural_style_filled
Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,1881,2.0,4.8,0,Yes,,Religious,No,1.05,All,https://upload.wikimedia.org/wikipedia/commons/b/b9/Shree_Siddhivinayak_Temple_Mumbai.jpg,,
Western,Gujarat,Somnath,Somnath Temple,Temple,1951,2.0,4.8,0,No,,Religious,No,0.39,Morning,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Somanath_mandir_%28cropped%29.jpg/640px-Somanath_mandir_%28cropped%29.jpg,,
Western,Maharastra,Kolhapur,Mahalakshmi Temple,Temple,700,1.0,4.8,0,Yes,,Religious,No,0.9,All,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Mahalaxmi_Temple%2C_Kolhapur.jpg/640px-Mahalaxmi_Temple%2C_Kolhapur.jpg,Hemadpanti architecture,
Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,-3500,1.5,4.8,0,Yes,,Religious,No,1.2,All,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Mahakal_Temple_Ujjain.JPG/1200px-Mahakal_Temple_Ujjain.JPG,,
Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,1500,1.5,4.8,10,No,,Historical,Yes,0.1,Afternoon,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/1d/24/96/the-marvellous-orchha.jpg?w=900&h=500&s=1,,
Northern,Uttarakhand,Badrinath,Badrinath Temple,Temple,-820,1.0,4.8,0,No,,Religious,No,0.29,All,https://upload.wikimedia.org/wikipedia/commons/f/f9/Badrinath_Temple_%2C_Uttarakhand.jpg,,
Northern,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,1751,1.0,4.8,0,No,,Religious,No,0.05,All,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/45/3b/da/the-main-temple.jpg?w=1200&h=-1&s=1,,
Northern,Uttarakhand,Chopta,Tungnath Temple,Temple,751,2.0,4.8,0,No,,Religious,No,0.09,All,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Tungnath_temple.jpg/640px-Tungnath_temple.jpg,,
Central,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,1864,1.0,4.8,0,Yes,,Religious,No,0.37,All,https://upload.wikimedia.org/wikipedia/commons/e/e3/Banke_Bihari_Vrindavan.jpg,,
Central,Uttar Pradesh,Meerut,Augarnath Temple,Temple,Unknown,1.0,4.8,0,Yes,,Religious,No,0.045,All,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Kali_Paltan_Mandir%2C_Meerut.jpg/1200px-Kali_Paltan_Mandir%2C_Meerut.jpg,,
Central,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,2012,1.5,4.8,0,Yes,,Religious,Yes,0.49,Evening,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/PremMandirSideViewFromCanteen.jpg/800px-PremMandirSideViewFromCanteen.jpg,,
Central,Uttar Pradesh,Mathura,Barsana Mandir,Temple,Unknown,1.0,4.8,0,Yes,,Religious,Yes,0.1,Morning,https://upload.wikimedia.org/wikipedia/commons/7/74/Radharani_Temple_Barsana_2.jpg,,
Southern,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,110,1.5,4.8,0,Yes,,Religious,No,0.35,All,https://cdn.britannica.com/66/250066-050-B34A9532/Brihadishvara-Temple-Thanjavur-Tamil-Nadu-India.jpg,Chola architecture,
Northern,Uttarakhand,Kedarnath,Kedarnath,Temple,Unknown,1.5,4.8,0,No,,Religious,No,2.0,All,https://badrinath-kedarnath.gov.in/css_js_2024/img/kedarnath-4k.jpg,,
Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1831,1.0,4.7,0,Yes,,Religious,No,0.33,All,https://upload.wikimedia.org/wikipedia/commons/5/53/Mahalaxmi_Temple%2C_Kolhapur.jpg,,
Southern,Telangana,Hyderabad,Birla Mandir,Temple,1976,1.0,4.7,0,Yes,,Religious,No,0.41,All,https://upload.wikimedia.org/wikipedia/commons/3/3c/Birla_Mandir%2C_Hyderabad.png,,
Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1.0,4.7,0,Yes,,Religious,Yes,0.82,Morning,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Dakhineshwar_Temple_beside_the_Hoogly%2C_West_Bengal.JPG/800px-Dakhineshwar_Temple_beside_the_Hoogly%2C_West_Bengal.JPG,Navaratna,
Western,Gujarat,Dwarka,Dwarkadhish Temple,Temple,-400,2.0,4.7,0,No,,Religious,No,0.59,Evening,https://upload.wikimedia.org/wikipedia/commons/a/a2/Dwarkadheesh_temple.jpg,Māru-Gurjara architecture,
Southern,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,Unknown,1.0,4.7,0,Yes,,Religious,No,0.46,All,https://upload.wikimedia.org/wikipedia/commons/d/d2/Sree_Padmanabhaswamy_temple_01.jpg,,
Southern,Karnataka,Murudeshwar,Murudeshwar Temple,Temple,Unknown,1.0,4.7,0,Yes,,Religious,No,0.49,All,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/73/8a/ad/murudeshwar.jpg?w=1200&h=1200&s=1,,
Southern,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,Temple,1121,1.0,4.7,15,No,,Religious,No,0.11,All,https://media.meer.com/attachments/f7d6921ad0115a039e4a410081b28c60ab3f1564/store/fill/1090/613/b732c147bc434b3a19581501d1cbdcce7757cfefe3a28a417e8e9f9c9e03/An-entrance-into-the-Hoysaleshwara-temple-in-Halebidu.jpg,,
Western,Maharastra,Shirdi,Sai Baba Temple,Temple,1922,1.5,4.7,0,Yes,,Religious,No,0.69,All,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/ab/9c/b1/shirdi-sai-baba-mandir.jpg?w=1200&h=-1&s=1,Wada,
Western,Maharastra,Ratnagiri,Ganapatipule Temple,Temple,1600,1.0,4.7,0,No,,Religious,No,0.1,All,https://www.ganpatipule.co.in/images/slider/5.jpg,,
