Zone,State,City,Name,Type,,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Image URL,architectural_style,,latitude,longitude
Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,,1881,2,4.8,0,Yes,,Religious,No,1.05,All,https://upload.wikimedia.org/wikipedia/commons/b/b9/Shree_Siddhivinayak_Temple_Mumbai.jpg,Maratha,,19.054999,72.8692035
Western,Gujarat,Somnath,Somnath Temple,Temple,,1951,2,4.8,0,No,,Religious,No,0.39,Morning,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Somanath_mandir_%28cropped%29.jpg/640px-Somanath_mandir_%28cropped%29.jpg,Chalukya,,20.8957174,70.4080467
Western,Maharastra,Kolhapur,Mahalakshmi Temple,Temple,,700,1,4.8,0,Yes,,Religious,No,0.9,All,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Mahalaxmi_Temple%2C_Kolhapur.jpg/640px-Mahalaxmi_Temple%2C_Kolhapur.jpg,Hemadpanti architecture,,16.7028412,74.2405329
Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,,-3500,1.5,4.8,0,Yes,,Religious,No,1.2,All,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Mahakal_Temple_Ujjain.JPG/1200px-Mahakal_Temple_Ujjain.JPG,Dravidian,,23.1885131,75.7716562
Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,,1500,1.5,4.8,10,No,,Historical,Yes,0.1,Afternoon,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/1d/24/96/the-marvellous-orchha.jpg?w=900&h=500&s=1,Bundela,,25.3528706,78.6402465
Northern,Uttarakhand,Badrinath,Badrinath Temple,Temple,,-820,1,4.8,0,No,,Religious,No,0.29,All,https://upload.wikimedia.org/wikipedia/commons/f/f9/Badrinath_Temple_%2C_Uttarakhand.jpg,Nagara,,30.7423302,79.4930256
Northern,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,,1751,1,4.8,0,No,,Religious,No,0.05,All,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/45/3b/da/the-main-temple.jpg?w=1200&h=-1&s=1,Nagara,,30.9635733,78.6362521
Northern,Uttarakhand,Chopta,Tungnath Temple,Temple,,751,2,4.8,0,No,,Religious,No,0.09,All,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Tungnath_temple.jpg/640px-Tungnath_temple.jpg,Himalayan,,30.1801851,79.367685
Central,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,,1864,1,4.8,0,Yes,,Religious,No,0.37,All,https://upload.wikimedia.org/wikipedia/commons/e/e3/Banke_Bihari_Vrindavan.jpg,Traditional North Indian,,27.5753726,77.6938045
Central,Uttar Pradesh,Meerut,Augarnath Temple,Temple,,Prior to 19th century (ancient origin),1,4.8,0,Yes,,Religious,No,0.045,All,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Kali_Paltan_Mandir%2C_Meerut.jpg/1200px-Kali_Paltan_Mandir%2C_Meerut.jpg,Nagara style,,29.0018557,77.7679671
Central,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,,2012,1.5,4.8,0,Yes,,Religious,Yes,0.49,Evening,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/PremMandirSideViewFromCanteen.jpg/800px-PremMandirSideViewFromCanteen.jpg,Traditional Hindu Temple,,27.5753726,77.6938045
Central,Uttar Pradesh,Mathura,Barsana Mandir,Temple,,16th century,1,4.8,0,Yes,,Religious,Yes,0.1,Morning,https://upload.wikimedia.org/wikipedia/commons/7/74/Radharani_Temple_Barsana_2.jpg,Nagar style,,27.4955539,77.6855554
Southern,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,,110,1.5,4.8,0,Yes,,Religious,No,0.35,All,https://cdn.britannica.com/66/250066-050-B34A9532/Brihadishvara-Temple-Thanjavur-Tamil-Nadu-India.jpg,Chola architecture,,10.659037,79.2014278
