monument_id,asi_name,qid,style,architect,coord,match_method,match_score
ASI-00022,Leh Mini-circle 15 Ladakh (U.T.) 15,,,,,no_candidates,0
ASI-00001,List of Centrally Protected Monuments / Sites under the jurisdiction of Andhra Pradesh (Amaravati Circle) Sl.No. Name of the Monument / Site Locality District,,,,,no_candidates,0
ASI-00001,Hill Fort and buildings therein and the Gooty Anantapuramu fortifications at the foot of the hill.,,,,,no_candidates,0
ASI-00002,Madhavaraya temple (Old Vishnu temple) Gorantla Anantapuramu,,,,,no_candidates,0
ASI-00003,Outer wall of the Mahalakshmi temple Goripalli Anantapuramu,,,,,no_candidates,0
ASI-00004,Group of sculptures - Ancient Site Hemavati Anantapuramu,,,,,no_candidates,0
ASI-00005,Group of old temples together with Hemavati Anantapuramu adjacent land,,,,,no_candidates,0
ASI-00006,Large dolmen on a rocky hillock Kalyandurg Anantapuramu,,,,,no_candidates,0
ASI-00007,Mallikarjuna (Siva) temple Kambaduru Anantapuramu,,,,,no_candidates,0
ASI-00008,Veerabhadra temple Lepakashi Anantapuramu,,,,,no_candidates,0
ASI-00009,Basavannah temple Lepakashi Anantapuramu,,,,,no_candidates,0
ASI-00010,Hill fort Madakasira Anantapuramu,,,,,no_candidates,0
ASI-00011,Large bastion and an old gateway Madakasira Anantapuramu,,,,,no_candidates,0
ASI-00012,Old gopuram Penukonda Anantapuramu,,,,,no_candidates,0
ASI-00013,Old stamba or lamp pillar in the Sub Penukonda Anantapuramu Collector's office compound,,,,,no_candidates,0
ASI-00014,Seethatheertham stepped well with Penukonda Anantapuramu entrance in the from of a bull,,,,,no_candidates,0
ASI-00015,Small pavillion and ruined water tower in a Penukonda Anantapuramu field,,,,,no_candidates,0
ASI-00016,The citadel and ruined buildings on the Penukonda Anantapuramu hill,,,,,no_candidates,0
ASI-00017,The Hill fort and northern gateway with Penukonda Anantapuramu inscriptions,,,,,no_candidates,0
ASI-00018,Watch tower known as Rama's bastion Penukonda Anantapuramu,,,,,no_candidates,0
ASI-00019,Hill fortressand a large wall Ratnagiri Anantapuramu,,,,,no_candidates,0
ASI-00020,Extensive hill fortress with outlying Rayadurg Anantapuramu fortification,,,,,no_candidates,0
ASI-00021,Palace and two temples of Rama and Rayadurg Anantapuramu Krishna,,,,,no_candidates,0
ASI-00022,Chintalarayaswami temple Tadpatri Anantapuramu,,,,,no_candidates,0
ASI-00023,Rameswaraswami temple Tadpatri Anantapuramu,,,,,no_candidates,0
ASI-00024,Lower Fort Chandragiri Chittoor,,,,,no_candidates,0
ASI-00025,Upper Fort Chandragiri Chittoor,,,,,no_candidates,0
ASI-00026,Parasuramesvara temple Gudimallam Chittoor,,,,,no_candidates,0
ASI-00027,Fort Gurramkonda Chittoor,,,,,no_candidates,0
ASI-00028,Lower Fort,,,,,no_candidates,0
ASI-00029,Mahal Gurramkonda Chittoor,,,,,no_candidates,0
ASI-00030,Palliswara mudaya Mahadeva temple Kalakada Chittoor,,,,,no_candidates,0
ASI-00031,Venkateswara Vishnu temple Mangapuram Chittoor (Hamlet of Mittapalam),,,,,no_candidates,0
ASI-00032,Megalithic cairns with bounding stone Pandur Chittoor 4 Sl.No. Name of the Monument / Site Locality District circles,,,,,no_candidates,0
ASI-00033,Chennakeswaraswami temple Sompalle Chittoor,,,,,no_candidates,0
ASI-00034,Megalithic cists and cairns Virakuppam Chittoor (Birakuppam),,,,,no_candidates,0
ASI-00035,Mounds containing Buddhist remains such Adurru East Godavari as stupas,,,,,no_candidates,0
ASI-00036,Gollingeswara group of temples Biccavolu East Godavari,,,,,no_candidates,0
ASI-00037,Kanchragudi Biccavolu East Godavari,,,,,no_candidates,0
ASI-00038,Monolithic Ganesa Image Biccavolu East Godavari,,,,,low_confidence,24.56140351
ASI-00039,Nakkalagudi Biccavolu East Godavari,,,,,no_candidates,0
ASI-00040,Veerabhadra temple Biccavolu East Godavari,,,,,low_confidence,30.3030303
ASI-00041,Bhimeswara temple Draksharama East Godavari,,,,,no_candidates,0
ASI-00042,Rock-cut caves and cisterns and remains Kapavaram East Godavari of Buddhist Stupas,,,,,low_confidence,18.94736842
ASI-00043,Buddhist remains at Kodavali Kodavali East Godavari,,,,,no_candidates,0
ASI-00044,Bhimeswara temple Samalkot,,,,,no_candidates,0
ASI-00045,Ruined Buddhist stupa and other remains Amaravati Guntur,,,,,no_candidates,0
ASI-00046,An Ancient Siva temple with inscription Ayyangaripalam Guntur (Hamlet of Pondugula),,,,,no_candidates,0
ASI-00047,Sri Bhavanarayanaswami temple Bapatla Guntur,,,,,no_candidates,0
ASI-00048,Ruined Buddhist stupa Bhattiprolu Guntur,,,,,no_candidates,0
ASI-00049,The Sculptures,,,,,no_candidates,0
ASI-00050,Kapoteswara temple with five inscriptional Chejerla Guntur slabs within the temple site,,,,,no_candidates,0
ASI-00051,Inscribed rock to the west of Dharanikota Dharanikota Guntur,,,,,no_candidates,0
ASI-00052,Fort in ruins Dharanikota Guntur,,,,,no_candidates,0
ASI-00053,The Mounds with ancient remains on them Grandhasiri Guntur (Hamlet of Vornakallu),,,,,no_candidates,0
ASI-00054,Inscribed marble pillar near the Gopala Ipur Guntur temple,,,,,no_candidates,0
ASI-00055,Ancient Buddhist remains with Brahmi Manchikallu Guntur inscriptions on the mound,,,,,no_candidates,0
ASI-00056,Reconstructed monumets at Anupu Nagarjunakonda Guntur andNagarjunklonda hilltop,,,,,no_candidates,0
ASI-00057,Mounds within the limit of Nagulavaram Nagulavaram Guntur,,,,,no_candidates,0
ASI-00058,The Sculptures,,,,,no_candidates,0
ASI-00059,(i) The mounds with remains of ancient Pullareddigudem Guntur building between the hillock of (Agarharam) Nagarjuna Konda and the village of Pullareddigudem (ii) Mounds adjacent to the hillock reddigudem 5 Sl.No. Name of the Monument / Site Locality District (iii) Hill of Nagarjunakonda with the ancient remains,,,,,no_candidates,0
ASI-00060,Four-storeyed rock-cut Hindu temple Undavalli Guntur,,,,,no_candidates,0
ASI-00061,The Mounds with ancient remains Velpur Guntur,,,,,no_candidates,0
ASI-00062,Vigneswara swami temple Chilamakuru Kadapa YSR,,,,,no_candidates,0
ASI-00063,Agatheswarswami Temple Chilamkuru Kadapa YSR,,,,,no_candidates,0
ASI-00064,Remains of the buried Jain temple Danavulapadu Kadapa YSR,,,,,no_candidates,0
ASI-00065,Fort with enclosed ancient buildings,,,,,no_candidates,0
ASI-00066,Saumyanatha temple Nandalur Kadapa YSR,,,,,no_candidates,0
ASI-00067,Ancient Village site Peddamudiyan Kadapa YSR,,,,,no_candidates,0
ASI-00068,Kothandaramaswami Temple Peddamudiyan Kadapa YSR,,,,,no_candidates,0
ASI-00069,Mukunteswara temple with inscriptions Peddamudiyan Kadapa YSR,,,,,no_candidates,0
ASI-00070,Narasimha temple Peddamudiyan Kadapa YSR,,,,,no_candidates,0
ASI-00071,Old Vishnu temple with inscriptions Peddamudiyan Kadapa YSR,,,,,no_candidates,0
ASI-00072,Athirala Parasurama temple Poli Kadapa YSR,,,,,no_candidates,0
ASI-00073,Bheemeshwara swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru),,,,,no_candidates,0
ASI-00074,Indranadheshwara swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru),,,,,no_candidates,0
ASI-00075,Kamalasamveswara swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru),,,,,no_candidates,0
ASI-00076,Raghaveswara swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru),,,,,no_candidates,0
ASI-00077,Sivakesavaswami temple Pushpagiri Kadapa YSR (hamlet of Kotluru),,,,,no_candidates,0
ASI-00078,Trikoteswara swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru),,,,,no_candidates,0
ASI-00079,Vaidhyanadha swami temple Pushpagiri Kadapa YSR (hamlet of Kotluru),,,,,no_candidates,0
ASI-00080,Fort with ancient buildings therein Siddhout Kadapa YSR,,,,,no_candidates,0
ASI-00081,Visvanatha swami temple Sivalpalli Kadapa YSR,,,,,no_candidates,0
ASI-00082,Sri Kodandarma swamy temple and Vontimitta Kadapa YSR adjoining buildings,,,,,no_candidates,0
ASI-00083,Ancient site with the mound marking the Alluru Krishna Buddhist Stupas in it,,,,,no_candidates,0
ASI-00084,Buddhist remains in a mound Ghantasala Krishna,,,,,low_confidence,23.33333333
ASI-00085,Mound containing Buddhist remains and Gudivada Krishna ancient village site.,,,,,no_candidates,0
ASI-00086,Sculptures,,,,,no_candidates,0
ASI-00087,Hillock containing the mound marking the Gummadiduru Krishna ancient remains of ancient Buddhist stupas situated on it,,,,,no_candidates,0
ASI-00088,Buddhist remains of a Stupa on the hill Jaggayyapeta Krishna,,,,,no_candidates,0
ASI-00089,Bandar Fort: (i) Armoury known as Fort Masulipathnam Krishna and customs office (ii) Belfry,,,,,no_candidates,0
ASI-00090,Dutch cemetry (D.No. 308) Masulipathnam Krishna,,,,,no_candidates,0
ASI-00091,Rock-cut cave temples on the Hill Mogalrajapuram Krishna 6 Sl.No. Name of the Monument / Site Locality District,,,,,no_candidates,0
ASI-00092,Ancient site and remains comprised in Munagacherla Krishna survey plot No. 37,,,,,no_candidates,0
ASI-00093,Four pillars in the ruined mandapam in Vijayawada Krishna Jammidoddi,,,,,no_candidates,0
ASI-00094,Inscribed Pillar and slab in Vijayawada Krishna Mallesvarasvami temple,,,,,no_candidates,0
ASI-00095,Kiratharjuna Pillar on the Indrakilla Hill Vijayawada Krishna,,,,,no_candidates,0
ASI-00096,Two rock-cut cave temples on the Vijayawada Krishna Indrakila hill known as Akkanna Muddanna caves,,,,,no_candidates,0
ASI-00097,Ruined fort and buildings therein except Adoni Kurnool Ramazan masjid,,,,,no_candidates,0
ASI-00098,Inscribed boulder bearing Andhra records Chinnakadaburu Kurnool of 150 A.D.,,,,,no_candidates,0
ASI-00099,A prominent granite hillock bearing Jonnagiri Kurnool Asokan inscription,,,,,no_candidates,0
ASI-00100,Gateways and the bastions of the old fort,,,,,no_candidates,0
ASI-00101,Mausoleum known as Abdul Wahab Kurnool Kurnool Khan's Tomb and adjoining buildings,,,,,no_candidates,0
ASI-00102,Nandavaram Temple including the Nandavaram Kurnool sculpture of Subrahamanya,,,,,no_candidates,0
ASI-00103,The Asokan inscription,,,,,low_confidence,23.52941176
ASI-00104,Inscribed stone lying to the east of Siva Rayachoti Kurnool temple,,,,,no_candidates,0
ASI-00105,Old Cave Temple Yaganti Kurnool,,,,,no_candidates,0
ASI-00106,Uma-Mahesvaraswami Temple Yaganti Kurnool,,,,,low_confidence,38.38383838
ASI-00107,Ancient Mounds Kanuparti Prakasam,,,,,no_candidates,0
ASI-00108,A group of eight rock-cut temples in Kottapalli Prakasam Bhairavakonda hill,,,,,no_candidates,0
ASI-00109,Chola Temple Motupalle Prakasam,,,,,no_candidates,0
ASI-00110,Ancient Mound Pedaganjam Prakasam,,,,,no_candidates,0
ASI-00111,Pitikeswara group of temples including Pittikayagulla Prakasam Approach road,,,,,no_candidates,0
ASI-00112,Ancient Site Pusalapadu Prakasam,,,,,no_candidates,0
ASI-00113,Ramalingeswara group of temples Satiavolu Prakasam,,,,,no_candidates,0
ASI-00114,Mound known as 'Bodipati Dibba' Ramatirtham SPSR- Nellore (Hamlet of Varini),,,,,no_candidates,0
ASI-00115,Ancient Mound in part of S.No. 855 A Ramatirtham SPSR- Nellore,,,,,no_candidates,0
ASI-00116,Hill Fort with Ancient buildings therein Udayagiri SPSR- Nellore,,,,,no_candidates,0
ASI-00117,Krishna Temple in a part of Donka with Udayagiri SPSR- Nellore Gopuram,,,,,no_candidates,0
ASI-00118,Ranganayakula Temple Udayagiri SPSR- Nellore,,,,,no_candidates,0
ASI-00119,Ancient Mound Kalingapatnam Srikakulam,,,,,no_candidates,0
ASI-00120,Sri Somesvara temple Mukhalingam Srikakulam,,,,,no_candidates,0
ASI-00121,Bhimesvara temple Mukhalingesvara Srikakulam,,,,,no_candidates,0
ASI-00122,Mukhalingesvara temple Mukhalingesvara Srikakulam,,,,,no_candidates,0
ASI-00123,Buddhist remains: Salihundam Srikakulam (i) Six Images,,,,,no_candidates,0
ASI-00124,Eastern portion of Salihundam hill Salihundam Srikakulam containing Buddhist remains ( A Chaitya and four stupas),,,,,no_candidates,0
ASI-00125,Ancient Buddhist Mounds locally known Kotturu (near Vishakhapatnam as 'Dhana Dibbalu' Gokivada forest),,,,,no_candidates,0
ASI-00126,Buddhist rock-cut stupas,,,,,low_confidence,14.17910448
ASI-00127,Durga Bhairavakonda having an ancient Neelavati Vizianagaram monument called Durga,,,,,no_candidates,0
ASI-00128,Ruined Buddhist Monastery at Ramathirtham Vizianagaram Gurubhaktulakonda,,,,,no_candidates,0
ASI-00129,The old temple (Dibbesvarasvami temple) Sarapalli Vizianagaram (Sarapalle),,,,,no_candidates,0
ASI-00130,Mounds containing Buddhist remains Arugolanu West Godavari,,,,,no_candidates,0
ASI-00131,Mounds locally known as Bhimalingadibba Denduluru West Godavari,,,,,no_candidates,0
ASI-00132,Buddhist monuments Guntupalle West Godavari (i) Rock-cut temple,,,,,no_candidates,0
ASI-00133,The caves and structural stupa of Jilakarragudem West Godavari Archaeological interest on (Hamlet of Dharmalingesvarasvami hill Guntupalle),,,,,no_candidates,0
ASI-00134,Ancient Mounds in S.No. 501-1 Pedavegi West Godavari,,,,,no_candidates,0
ASI-00135,The mounds of Pedavegi : Dibba No.1 Pedavegi West Godavari Dibba No.2,,,,,no_candidates,0
ASI-00002,List of Centrally Protected Monuments / Sites under the jurisdiction of Arunachal Pradesh (Guwahati Circle) Sl.No. Name of the Monument / Site Locality District,,,,,no_candidates,0
ASI-00001,Copper temple near Sadiya,,,,,no_candidates,0
ASI-00002,Ruins,,,,,no_candidates,0
ASI-00003,Remains in Bhismak Nagar,,,,,no_candidates,0
ASI-00003,List of Centrally Protected Monuments / Sites under the jurisdiction of Assam (Guwahati Circle) Sl.No. Name of the Monument / Site Locality District,,,,,no_candidates,0
ASI-00001,Bordole temple Biswanathghat Biswanath,,,,,no_candidates,0
ASI-00002,Grave of Lieutenant Lewis Biswanathghat Biswanath,,,,,no_candidates,0
ASI-00003,Grave of Lieutenant Thomas Kennedy. Biswanathghat Biswanath,,,,,no_candidates,0
ASI-00004,The rock known as” Bishwanath Sivalinga” Biswanathghat Biswanath,,,,,no_candidates,0
ASI-00005,Dhandi temple Dhandi (Gohpur) Biswanath,,,,,no_candidates,0
ASI-00006,The rock known as “Sakreswar” The island Biswanath “Unatumani” in the neighbourhood of village Bishwanath,,,,,no_candidates,0
ASI-00007,Ancient Caves (Ancient Tombs) Jogighopa Bongaigaon,,,,,no_candidates,0
ASI-00008,Cachari Ruins viz. A small unfinished Khaspur Cachar dwelling house,,,,,no_candidates,0
ASI-00009,Group of Four Maidams Chairaideo Chairaideo,,,,,no_candidates,0
ASI-00010,Idgah on the Rangamati Hill with its Panbari Dhubri enclose Walls and a space of 16’-20’ (Rangamati Hill) around there,,,,,no_candidates,0
ASI-00011,Rangamati Mosque and the ablution tank Panbari Dhubri attached thereto (Rangamati Hill),,,,,no_candidates,0
ASI-00012,The Derebara Group of monoliths Dubungling Dima-Hasao (N.C.Hills),,,,,no_candidates,0
ASI-00013,TheKhartong Group of monoliths Kartongsip Dima-Hasao (N.C.Hills),,,,,no_candidates,0
ASI-00014,The Kobak Group of monoliths Khobak Dima-Hasao (N.C.Hills),,,,,no_candidates,0
ASI-00015,Rock-cut temple Maibang Dima-Hasao (N.C.Hills),,,,,no_candidates,0
ASI-00016,Two inscribed Stones Maibang Dima-Hasao (N.C.Hills),,,,,no_candidates,0
ASI-00017,Bolosan Group of monoliths Nuchubunglo Dima-Hasao (N.C.Hills),,,,,no_candidates,0
ASI-00018,Tomb of Lieutenant Cresswell Goalpara Goalpara,,,,,no_candidates,0
ASI-00019,Monument over the grave of Mr.B.J.Stow Goalpara Goalpara,,,,,no_candidates,0
ASI-00020,Shri Surya Pahar Ruins,,,,,no_candidates,0
ASI-00021,Monoliths Kasomari Pathar Golaghat,,,,,no_candidates,0
ASI-00022,Sivadol Negheriting Golaghat,,,,,no_candidates,0
ASI-00023,The stone inscription inside “Poa Mecca Hajo Kamrup Mosque”,,,,,no_candidates,0
ASI-00024,Shri Shri Hayagriva Madhava temple Hajo Kamrup,,,,,no_candidates,0
ASI-00025,Shri Shri Kedar temple Hajo Kamrup,,,,,no_candidates,0
ASI-00026,Shri Shri Ganesh temple Hajo Kamrup,,,,,no_candidates,0
ASI-00027,Shri Shri Kameshwar temple. Hajo Kamrup 10 Sl.No. Name of the Monument / Site Locality District,,,,,no_candidates,0
ASI-00028,The Carvings,,,,,no_candidates,0
ASI-00029,The rock-cut sculpture representing Guwahati Kamrup (M) Vishnu (with adjoining figures of Surya,,,,,no_candidates,0
ASI-00030,Daurgarila Rock Inscription,,,,,no_candidates,0
ASI-00031,Rock-cut figures and one Stone - Gateway Kamakhya Hill Kamrup (M),,,,,no_candidates,0
ASI-00032,Garhgaon Raja’s Palace Garhgaon Sivasagar,,,,,no_candidates,0
ASI-00033,Bisnudol Gaurisagar Sivasagar,,,,,no_candidates,0
ASI-00034,Devidol Gaurisagar Sivasagar,,,,,no_candidates,0
ASI-00035,Gaurisagar Tank Gaurisagar Sivasagar,,,,,no_candidates,0
ASI-00036,Sivadol Gaurisagar Sivasagar,,,,,no_candidates,0
ASI-00037,Bisnudol Joysagar Sivasagar,,,,,no_candidates,0
ASI-00038,Devidol Joysagar Sivasagar,,,,,low_confidence,20
ASI-00039,Eight cannons of the Ahom period on the Joysagar Sivasagar bank of the,,,,,no_candidates,0
ASI-00040,Ghanshyam’s house Joysagar Sivasagar,,,,,low_confidence,30
ASI-00041,Golakghar or magazine Joysagar Sivasagar,,,,,no_candidates,0
ASI-00042,Ranganath dole Joysagar Sivasagar,,,,,low_confidence,30.43478261
ASI-00043,Ranghar Ruins Joysagar Sivasagar,,,,,no_candidates,0
ASI-00044,Sivadol Joysagar Sivasagar,,,,,no_candidates,0
ASI-00045,The Karenghar of the Ahom kings (Talatal Joysagar Sivasagar ghar),,,,,no_candidates,0
ASI-00046,Bishnu dole Sibsagar Sivasagar,,,,,no_candidates,0
ASI-00047,Debi dole Sibsagar Sivasagar,,,,,no_candidates,0
ASI-00048,Siva dole Sibsagar Sivasagar,,,,,no_candidates,0
ASI-00049,Ruins,,,,,no_candidates,0
ASI-00050,Masonary remains on the Bamuni Hills Tezpur Sonitpur,,,,,no_candidates,0
ASI-00051,Sculptures in the Chummery compound Tezpur Sonitpur,,,,,no_candidates,0
ASI-00052,The mound and ruins of the stone temple Tezpur Sonitpur at Parbatiya,,,,,no_candidates,0
ASI-00053,The rock on the bank of the Bharmaputra Tezpur Sonitpur about 2 miles below Tezpur and the inscription thereon,,,,,no_candidates,0
ASI-00054,The gun of Emperor Sher Shah,,,,,no_candidates,0
ASI-00055,The two swivel guns belonging to the Sadiya Tinsukia Mughal Nawwara 11,,,,,no_candidates,0
ASI-00004,List of Centrally protected Monuments / Sites under the jurisdiction of Bihar (Patna Circle) Sl.No. Name of the Monument / Site Locality District,,,,,no_candidates,0
ASI-00001,Tomb of Shamsher Khan Shamshernagar Aurangabad,,,,,no_candidates,0
ASI-00002,Ancient site of Vikramasila Monastery Antichak Bhagalpur,,,,,no_candidates,0
ASI-00003,Rock Temple Golgong Bhagalpur,,,,,no_candidates,0
ASI-00004,Patalpuri cave and land adjoining Madhorampur Bhagalpur Bateshwar cave on the Patharghata hill,,,,,no_candidates,0
ASI-00005,Rock sculptures Patharghatta Bhagalpur,,,,,no_candidates,0
ASI-00006,Ancient mound Buxar Buxar,,,,,no_candidates,0
ASI-00007,Asoka column known as Laur pillar Lauriya Areraj East Champaran,,,,,no_candidates,0
ASI-00008,Fort ruins,,,,,no_candidates,0
ASI-00009,Buddhist Stupa Tajpur Deur East Champaran,,,,,no_candidates,0
ASI-00010,Ancient Stupa and other remains locally Bakraur Gaya known as Sujata garh,,,,,no_candidates,0
ASI-00011,Ancient mounds in the valley known as Bishunpurtarwa,,,,,no_candidates,0
ASI-00012,Ancient mouds in the hill known as Bishunpurtarwa,,,,,no_candidates,0
ASI-00013,Ancient Buddhistic image and other Guneri Gaya images and sculptures collected underneath a shed,,,,,no_candidates,0
ASI-00014,Siva temple Konch Gaya,,,,,no_candidates,0
ASI-00015,Sculptures of various Hindu deities carved Kurisarai Gaya on the southern and eastern faces of some rocks and boulders of Kauwadol Hill,,,,,no_candidates,0
ASI-00016,Sculptures of various Hindu deities carved Kurisarai Gaya on the face of an isolated round boulder separated by a distance of 12 feet from the south-eastern corner of the Kauwadol Hill.,,,,,no_candidates,0
